"TOA5","CR6Series_2","CR6","15361","CR6.Std.10.02","CPU:W20058__CR6CP_EErDuoSi.CR6","35657","Time_Series"
"TIMESTAMP","RECORD","Ux","Uy","Uz","T_SONIC","diag_sonic","CO2","H2O","diag_irga","TA_1_1_1","T_cell","PA_cell","CO2_sig_strgth","H2O_sig_strgth","PA_diff","PA","pump_flow","sampling_regime"
"TS","RN","m s-1","m s-1","m s-1","deg C","adimensional","umolCO2 mol-1","mmolH2O mol-1","adimensional","deg C","deg C","kPa","fraction","fraction","kPa","kPa","L min-1","adimensional"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-05-22 13:49:39",1658115,-5.838337,-1.887035,0.5856206,21.97285,0,418.1188,7.252022,0,21.29626,24.78601,81.49858,1.01079,1.014988,-5.292221,86.7908,7.998295,1
"2021-05-22 13:49:39.1",1658116,-5.090369,-2.016617,0.3409745,22.01756,0,418.1242,7.298455,0,21.33655,24.7847,81.49597,1.010814,1.015004,-5.293198,86.78917,7.998489,1
"2021-05-22 13:49:39.2",1658117,-6.783121,-1.203658,0.3220955,21.34721,0,418.3253,7.090824,0,20.68695,24.78571,81.49588,1.010826,1.01499,-5.29274,86.78862,8.000242,1
"2021-05-22 13:49:39.3",1658118,-5.829351,-2.624933,0.5348259,21.07451,0,418.4578,7.096465,0,20.41437,24.78656,81.49734,1.010796,1.014984,-5.292358,86.7897,7.998567,1
"2021-05-22 13:49:39.4",1658119,-6.147702,-2.224086,1.075264,21.47488,0,418.278,7.184907,0,20.80569,24.78531,81.49615,1.010813,1.014991,-5.292137,86.78829,7.998014,1
"2021-05-22 13:49:39.5",1658120,-5.298517,-4.866288,0.1849296,21.46902,0,418.0436,7.185192,0,20.7998,24.7851,81.49828,1.010814,1.015036,-5.291489,86.78976,7.999962,1
"2021-05-22 13:49:39.6",1658121,-5.570342,-3.838434,2.82863,21.39459,0,418.1939,7.15124,0,20.72864,24.78442,81.49908,1.01078,1.015005,-5.290558,86.78963,7.998295,1
"2021-05-22 13:49:39.7",1658122,-7.873603,-3.459806,0.3394864,21.25542,0,418.3879,7.080789,0,20.59634,24.7851,81.49495,1.010817,1.014983,-5.293747,86.7887,8.000146,1
"2021-05-22 13:49:39.8",1658123,-6.802158,-3.737798,0.2414017,21.15928,0,418.2492,7.114397,0,20.49728,24.78418,81.49667,1.010807,1.014969,-5.287827,86.78449,7.999923,1
"2021-05-22 13:49:39.9",1658124,-6.376521,-4.032357,1.056075,21.42253,0,418.3387,7.123411,0,20.75909,24.78531,81.49368,1.01079,1.014961,-5.291672,86.78535,7.998295,1
"2021-05-22 13:49:40",1658125,-5.641388,-4.912725,0.1549094,21.67752,0,418.1982,7.205366,0,21.00589,24.784,81.49434,1.010814,1.014944,-5.292336,86.78667,8.012762,1
"2021-05-22 13:49:40.1",1658126,-7.208776,-3.857699,-0.2453556,21.15821,0,418.3358,7.074727,0,20.49988,24.78375,81.49192,1.01079,1.014974,-5.291245,86.78316,8.00512,1
"2021-05-22 13:49:40.2",1658127,-6.65837,-3.710392,-2.075632,20.20443,0,418.6483,6.830294,0,19.57077,24.78549,81.49051,1.010748,1.014989,-5.294357,86.78487,8.000077,1
"2021-05-22 13:49:40.3",1658128,-6.171384,-4.197143,-2.212027,20.30358,0,419.0322,6.824146,0,19.67029,24.78473,81.49193,1.010793,1.014946,-5.294273,86.7862,8.000097,1
"2021-05-22 13:49:40.4",1658129,-6.432567,-2.931074,0.1131861,20.39091,0,418.9831,6.855639,0,19.75452,24.78561,81.48933,1.010855,1.015002,-5.294197,86.78352,7.999768,1
"2021-05-22 13:49:40.5",1658130,-6.969862,-5.746188,-1.20751,21.13449,0,418.5172,7.023954,0,20.48093,24.78403,81.48765,1.010806,1.014966,-5.289124,86.77677,8,1
"2021-05-22 13:49:40.6",1658131,-6.046318,-6.761234,-0.431037,21.24169,0,418.4586,7.115726,0,20.57938,24.78375,81.48762,1.010831,1.014968,-5.292465,86.78008,7.999904,1
"2021-05-22 13:49:40.7",1658132,-7.920587,-5.897999,1.172743,21.49792,0,418.2895,7.093878,0,20.83704,24.7836,81.48157,1.010792,1.014957,-5.29985,86.78142,7.998295,1
"2021-05-22 13:49:40.8",1658133,-8.315409,-5.900782,0.1593843,20.31968,0,418.899,6.819317,0,19.68677,24.78525,81.47812,1.010794,1.014951,-5.29866,86.77678,8.001552,1
"2021-05-22 13:49:40.9",1658134,-10.04741,-6.483391,0.008949589,20.64407,0,418.9092,6.889123,0,20.004,24.78421,81.47874,1.010823,1.014987,-5.299202,86.77794,8,1
"2021-05-22 13:49:41",1658135,-8.848792,-5.90482,-0.1792499,20.53014,0,418.602,6.873079,0,19.89182,24.7851,81.47839,1.010785,1.014996,-5.299477,86.77786,7.997946,1
"2021-05-22 13:49:41.1",1658136,-9.086137,-5.081566,0.0206697,20.66641,0,418.6674,6.912529,0,20.02417,24.78552,81.47782,1.010827,1.014993,-5.299553,86.77737,7.999651,1
"2021-05-22 13:49:41.2",1658137,-9.985938,-5.577796,-0.1952883,20.84125,0,418.945,6.937718,0,20.19626,24.7851,81.47633,1.010842,1.014998,-5.303581,86.77991,7.999855,1
"2021-05-22 13:49:41.3",1658138,-8.696424,-5.22903,-0.1000547,20.64903,0,418.5835,6.943655,0,20.00394,24.78491,81.47398,1.010816,1.014995,-5.296898,86.77087,8,1
"2021-05-22 13:49:41.4",1658139,-9.464201,-5.916067,-1.525416,20.83955,0,418.5444,6.949686,0,20.19348,24.78333,81.47145,1.010794,1.014988,-5.28756,86.75901,7.998644,1
"2021-05-22 13:49:41.5",1658140,-11.04264,-6.785137,-1.091114,20.16689,0,418.9522,6.83231,0,19.53314,24.78403,81.46943,1.010809,1.014961,-5.286812,86.75624,8.000533,1
"2021-05-22 13:49:41.6",1658141,-10.48042,-7.551156,-0.9881142,20.0183,0,418.9261,6.773088,0,19.39035,24.78351,81.46631,1.010784,1.014952,-5.304535,86.77084,7.99876,1
"2021-05-22 13:49:41.7",1658142,-10.33875,-7.871188,0.07513073,20.40531,0,418.8044,6.837366,0,19.77054,24.78406,81.46497,1.010803,1.014973,-5.319344,86.78431,8.00034,1
"2021-05-22 13:49:41.8",1658143,-9.652429,-4.857081,-2.223886,20.50002,0,418.8995,6.850963,0,19.8638,24.78333,81.46643,1.01081,1.014971,-5.313744,86.78017,7.998682,1
"2021-05-22 13:49:41.9",1658144,-11.28839,-4.285185,-0.3754109,20.6843,0,418.6487,6.910833,0,20.04214,24.78253,81.46808,1.010793,1.014958,-5.308784,86.77686,8.000465,1
